ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
709,448,12.36,65.3,2.5,40.5,3.8,18.5,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
710,81,82.73,10.6,0,10.61,2.96,03.06,1.75,9,43.0,124.0,106.0,42.0,0,48.0,7.000.000,0.3,34,0.42,43,165,8.799.999,0.06,5,0,79,9,0.35,23,3.5,0,Mix
711,595,03.05,21.19,930.000.000,0.49,17,53.76,7.529,0,115.0,414.0,426.0,67.0,0,0.0,0.25,0,149,0,1.22,473,5.45,894.999.999,98,69.300.000,732,95,4.62,1.61,34.4,1.456,Bitkisel
712,183,659.599.999,0.1,0,0.04,25.08,8.48,2.953,64,429.0,450.0,10.0,64.0,0.5,532.0,0.58,0.8,673,4.57,8.799.999,123,928.299.999,0.47,5,0,320,33,0.48,77,38.4,0,Hayvansal
713,191,61.02,17.86,0.6,0.21,11.96,7.52,2.598,114,440.0,129.0,66.0,67.0,0,24.0,0.51,2.2,131,0.46,0.23,285,2.478,1.64,39,0,148,14,1.2,65,22.7,0,Mix
714,17,96.66,3.33,0,0,0,0,0,0,767.0,29.0,0.0,0.0,7.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,Bitkisel
715,177.73,57.38,36.66,0.36,30.49,2.94,2.47,1.17,39.02,82.73,70.53,74.3,37.86,0.27,21.77,0.1,0.05,0.03,0.19,0.07,0.15,0.49,0.63,20.03,0.28,67.23,7.56,0.3,0.03,6.59,0.08,Bitkisel
716,169,65.52,21.42,0,6.46,3.97,7.45,4.048,27,96.0,196.0,136.0,302.0,0.9,5.0,0.29,2.8,29,0.52,29,122,74,0.19,4,256,75,9,0.31,0.03,1.9,6,Mix
717,191,58.81,5.13,0,0,29.08,5.26,2.947,396,79.0,352.0,6.0,31714.0,1.9,49.0,0.51,3.3,1.017,70.58,194,3.425,17.525,6.54,253,7.11,497,21,5.3,14.283,36.1,356,Hayvansal
718,80.33,83.45,5.86,1.19,1.84,6.23,3.6,0.97,17.81,111.38,227.21,14.51,2318.26,10.85,0.29,01.05,4.58,0.11,0.7,0.07,0.07,0,0.77,17.25,0.28,72.08,16.18,1.25,0.08,6.21,0.1,Hayvansal
